address_id,customer_id,address_type,country,emirate,city,area,street_address,building_name,flat_or_villa_no,po_box,postal_code,address_status
ADDR000018,CUST00011,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Jurf,49 Al Jurf Street,Building 73,1933,24416,,Active
ADDR000019,CUST00011,Home Country,United Kingdom,,Old Town,Town Center,"House 282, Street 17",,,,137844,Active
ADDR000020,CUST00012,UAE Residence,United Arab Emirates,Dubai,Dubai,Dubai Marina,5 Dubai Marina Street,Building 40,1995,96121,,Active
ADDR000021,CUST00012,Home Country,Egypt,,Capital City,Town Center,"House 460, Street 39",,,,652720,Active
ADDR000022,CUST00013,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,62 Dibba Street,Building 180,522,67138,,Active
ADDR000023,CUST00013,Home Country,United Kingdom,,Capital City,Main Area,"House 188, Street 34",,,,508171,Active
ADDR000024,CUST00014,UAE Residence,United Arab Emirates,Ajman,Ajman,Ajman Corniche,15 Ajman Corniche Street,Building 22,2430,84879,,Active
ADDR000025,CUST00014,Home Country,Nepal,,Old Town,Town Center,"House 225, Street 23",,,,707274,Active
ADDR000026,CUST00015,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,85 Dibba Street,Building 51,755,64240,,Active
ADDR000027,CUST00015,Home Country,Philippines,,Capital City,Town Center,"House 446, Street 3",,,,854363,Active
ADDR000028,CUST00016,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Mussafah,43 Mussafah Street,Building 138,950,59142,,Active
ADDR000029,CUST00016,Home Country,Sri Lanka,,Metro City,Residential Zone,"House 183, Street 42",,,,665306,Active
ADDR000030,CUST00017,UAE Residence,United Arab Emirates,Dubai,Dubai,Dubai Marina,45 Dubai Marina Street,Building 109,1441,67636,,Active
ADDR000031,CUST00017,Home Country,Nepal,,Metro City,Residential Zone,"House 127, Street 24",,,,351045,Active
ADDR000032,CUST00018,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Taawun,84 Al Taawun Street,Building 152,2186,31377,,Active
ADDR000033,CUST00018,Home Country,India,,Central District,Market Area,"House 199, Street 26",,,,791491,Active
ADDR000034,CUST00019,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,60 Al Nahda Street,Building 199,2075,53928,,Active
ADDR000035,CUST00019,Home Country,Bangladesh,,Capital City,Main Area,"House 349, Street 22",,,,665629,Active
ADDR000036,CUST00020,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Raas,55 Al Raas Street,Building 110,2345,73553,,Active
ADDR000037,CUST00020,Home Country,India,,Metro City,Main Area,"House 418, Street 50",,,,312225,Active
ADDR000038,CUST00021,UAE Residence,United Arab Emirates,Dubai,Dubai,Bur Dubai,66 Bur Dubai Street,Building 88,938,30655,,Active
ADDR000039,CUST00022,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,23 Old Town Street,Building 123,1674,66360,,Active
ADDR000040,CUST00022,Home Country,India,,Metro City,Residential Zone,"House 163, Street 5",,,,768961,Active
ADDR000041,CUST00023,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Mussafah,22 Mussafah Street,Building 82,616,77876,,Active
ADDR000042,CUST00023,Home Country,Bangladesh,,Central District,Residential Zone,"House 219, Street 7",,,,350141,Active
ADDR000043,CUST00024,UAE Residence,United Arab Emirates,Dubai,Dubai,Dubai Marina,60 Dubai Marina Street,Building 49,132,80145,,Active
ADDR000044,CUST00025,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,17 Al Dhait Street,Building 185,133,93743,,Active
ADDR000045,CUST00025,Home Country,India,,Old Town,Market Area,"House 285, Street 46",,,,985638,Active
ADDR000046,CUST00026,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Rolla,61 Rolla Street,Building 121,1968,25198,,Active
ADDR000047,CUST00026,Home Country,Bangladesh,,Capital City,Residential Zone,"House 72, Street 21",,,,234502,Active
ADDR000048,CUST00027,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Madhab,84 Madhab Street,Building 130,1698,36007,,Active
ADDR000049,CUST00027,Home Country,Nepal,,Capital City,Main Area,"House 5, Street 29",,,,186973,Active
ADDR000050,CUST00028,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,7 Al Nahda Street,Building 37,1242,28456,,Active
ADDR000051,CUST00028,Home Country,India,,Metro City,Residential Zone,"House 346, Street 19",,,,612606,Active
ADDR000052,CUST00029,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,45 Al Nahda Street,Building 190,2081,96797,,Active
ADDR000053,CUST00029,Home Country,Bangladesh,,Old Town,Town Center,"House 49, Street 49",,,,749114,Active
ADDR000054,CUST00030,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,16 Old Town Street,Building 174,2475,86357,,Active
ADDR000055,CUST00030,Home Country,Philippines,,Old Town,Main Area,"House 193, Street 24",,,,844254,Active
ADDR000056,CUST00031,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,45 Al Dhait Street,Building 198,1734,62774,,Active
ADDR000057,CUST00032,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,53 Old Town Street,Building 76,267,89594,,Active
ADDR000058,CUST00032,Home Country,Sri Lanka,,Old Town,Market Area,"House 100, Street 19",,,,916818,Active
ADDR000059,CUST00033,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Mussafah,3 Mussafah Street,Building 158,1602,29967,,Active
ADDR000060,CUST00033,Home Country,Nepal,,Metro City,Residential Zone,"House 484, Street 9",,,,807226,Active
ADDR000061,CUST00034,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Jurf,26 Al Jurf Street,Building 200,1980,91807,,Active
ADDR000062,CUST00034,Home Country,Bangladesh,,Metro City,Market Area,"House 66, Street 6",,,,707603,Active
ADDR000063,CUST00035,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,32 Business Bay Street,Building 160,155,70116,,Active
ADDR000064,CUST00035,Home Country,Egypt,,Capital City,Residential Zone,"House 355, Street 19",,,,601471,Active
ADDR000065,CUST00036,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,54 Dibba Street,Building 13,568,53853,,Active
ADDR000066,CUST00036,Home Country,Egypt,,Old Town,Main Area,"House 43, Street 22",,,,138946,Active
ADDR000067,CUST00037,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,6 Fujairah City Street,Building 18,1726,29843,,Active
ADDR000068,CUST00037,Home Country,Bangladesh,,Old Town,Main Area,"House 16, Street 33",,,,134284,Active
ADDR000069,CUST00038,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Rolla,45 Rolla Street,Building 144,2443,37385,,Active
ADDR000070,CUST00038,Home Country,Egypt,,Central District,Town Center,"House 466, Street 22",,,,726915,Active
ADDR000071,CUST00039,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Rashidiya,29 Al Rashidiya Street,Building 82,1284,76532,,Active
ADDR000072,CUST00039,Home Country,United Kingdom,,Metro City,Residential Zone,"House 252, Street 6",,,,729274,Active
ADDR000073,CUST00040,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,37 Al Nahda Street,Building 147,1751,71865,,Active
ADDR000074,CUST00040,Home Country,Egypt,,Capital City,Residential Zone,"House 197, Street 16",,,,845412,Active
ADDR000075,CUST00041,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,82 Al Dhait Street,Building 100,1262,98968,,Active
ADDR000076,CUST00041,Home Country,Sri Lanka,,Metro City,Market Area,"House 12, Street 14",,,,196069,Active
ADDR000077,CUST00042,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Rashidiya,85 Al Rashidiya Street,Building 105,1834,57823,,Active
ADDR000078,CUST00042,Home Country,Philippines,,Metro City,Market Area,"House 159, Street 26",,,,664895,Active
ADDR000079,CUST00043,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Al Reem Island,76 Al Reem Island Street,Building 43,2141,97793,,Active
ADDR000080,CUST00043,Home Country,United Kingdom,,Metro City,Residential Zone,"House 2, Street 3",,,,950231,Active
ADDR000081,CUST00044,UAE Residence,United Arab Emirates,Dubai,Dubai,Bur Dubai,3 Bur Dubai Street,Building 140,1703,97041,,Active
ADDR000082,CUST00044,Home Country,Sri Lanka,,Capital City,Main Area,"House 156, Street 43",,,,882534,Active
ADDR000083,CUST00045,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Nuaimiya,41 Al Nuaimiya Street,Building 23,199,83331,,Active
ADDR000084,CUST00045,Home Country,India,,Central District,Residential Zone,"House 107, Street 10",,,,619577,Active
ADDR000085,CUST00046,UAE Residence,United Arab Emirates,Dubai,Dubai,Jumeirah,84 Jumeirah Street,Building 52,334,94536,,Active
ADDR000086,CUST00046,Home Country,Philippines,,Metro City,Market Area,"House 164, Street 27",,,,986063,Active
ADDR000087,CUST00047,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,49 Dibba Street,Building 154,923,11686,,Active
ADDR000088,CUST00048,UAE Residence,United Arab Emirates,Dubai,Dubai,Deira,8 Deira Street,Building 185,255,87245,,Active
ADDR000089,CUST00048,Home Country,Philippines,,Capital City,Market Area,"House 34, Street 36",,,,564904,Active
ADDR000090,CUST00049,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Nakheel,94 Al Nakheel Street,Building 1,1369,79690,,Active
ADDR000091,CUST00049,Home Country,Pakistan,,Capital City,Market Area,"House 270, Street 42",,,,341844,Active
ADDR000092,CUST00050,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Al Reem Island,9 Al Reem Island Street,Building 86,2328,88661,,Active
ADDR000093,CUST00050,Home Country,Philippines,,Metro City,Main Area,"House 319, Street 48",,,,341293,Active
ADDR000094,CUST00051,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,91 Business Bay Street,Building 57,1917,64677,,Active
ADDR000095,CUST00051,Home Country,Egypt,,Old Town,Main Area,"House 125, Street 50",,,,537763,Active
ADDR000096,CUST00052,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Rashidiya,69 Al Rashidiya Street,Building 165,202,77088,,Active
ADDR000097,CUST00052,Home Country,Jordan,,Capital City,Market Area,"House 71, Street 44",,,,766044,Active
ADDR000098,CUST00053,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Nuaimiya,45 Al Nuaimiya Street,Building 195,2444,49727,,Active
ADDR000099,CUST00053,Home Country,United Kingdom,,Old Town,Residential Zone,"House 394, Street 30",,,,987938,Active
ADDR000100,CUST00054,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,92 Business Bay Street,Building 57,402,21570,,Active
ADDR000101,CUST00054,Home Country,Sri Lanka,,Capital City,Residential Zone,"House 349, Street 36",,,,322393,Active
ADDR000102,CUST00055,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,2 Dibba Street,Building 157,1873,75168,,Active
ADDR000103,CUST00055,Home Country,Jordan,,Metro City,Town Center,"House 317, Street 33",,,,404313,Active
ADDR000104,CUST00056,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,72 Al Nahda Street,Building 150,612,50425,,Active
ADDR000105,CUST00056,Home Country,India,,Metro City,Town Center,"House 311, Street 15",,,,597413,Active
ADDR000106,CUST00057,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Jurf,83 Al Jurf Street,Building 8,526,63154,,Active
ADDR000107,CUST00057,Home Country,Nepal,,Old Town,Town Center,"House 246, Street 45",,,,203068,Active
ADDR000108,CUST00058,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,62 Al Dhait Street,Building 102,614,96271,,Active
ADDR000109,CUST00058,Home Country,Sri Lanka,,Metro City,Town Center,"House 475, Street 16",,,,553448,Active
ADDR000110,CUST00059,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Khuzam,4 Khuzam Street,Building 23,1725,93870,,Active
ADDR000111,CUST00059,Home Country,United Kingdom,,Metro City,Town Center,"House 474, Street 26",,,,280247,Active
ADDR000112,CUST00060,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Hamra,24 Al Hamra Street,Building 109,1871,67013,,Active
ADDR000113,CUST00060,Home Country,India,,Old Town,Main Area,"House 292, Street 45",,,,821196,Active
ADDR000114,CUST00061,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Rolla,83 Rolla Street,Building 102,451,61796,,Active
ADDR000115,CUST00061,Home Country,Sri Lanka,,Central District,Market Area,"House 96, Street 36",,,,771952,Active
ADDR000116,CUST00062,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Nakheel,60 Al Nakheel Street,Building 75,2479,86510,,Active
ADDR000117,CUST00062,Home Country,Jordan,,Metro City,Residential Zone,"House 290, Street 35",,,,211329,Active
ADDR000118,CUST00063,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Muweilah,44 Muweilah Street,Building 160,2053,72950,,Active
ADDR000119,CUST00063,Home Country,Nepal,,Old Town,Market Area,"House 223, Street 21",,,,732565,Active
ADDR000120,CUST00064,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,49 Old Town Street,Building 76,203,81964,,Active
ADDR000121,CUST00064,Home Country,Jordan,,Metro City,Residential Zone,"House 492, Street 48",,,,658053,Active
ADDR000122,CUST00065,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,4 Business Bay Street,Building 19,1292,26357,,Active
ADDR000123,CUST00065,Home Country,Bangladesh,,Old Town,Main Area,"House 457, Street 50",,,,506356,Active
ADDR000124,CUST00066,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Corniche,71 Corniche Street,Building 150,872,84928,,Active
ADDR000125,CUST00066,Home Country,Jordan,,Capital City,Market Area,"House 303, Street 23",,,,515741,Active
ADDR000126,CUST00067,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Mussafah,69 Mussafah Street,Building 137,1908,20522,,Active
ADDR000127,CUST00067,Home Country,Bangladesh,,Capital City,Residential Zone,"House 270, Street 28",,,,141290,Active
ADDR000128,CUST00068,UAE Residence,United Arab Emirates,Dubai,Dubai,Business Bay,6 Business Bay Street,Building 2,853,44326,,Active
ADDR000129,CUST00068,Home Country,Nepal,,Central District,Market Area,"House 268, Street 29",,,,688437,Active
ADDR000130,CUST00069,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,45 Old Town Street,Building 164,1997,16526,,Active
ADDR000131,CUST00069,Home Country,Pakistan,,Metro City,Main Area,"House 397, Street 10",,,,718293,Active
ADDR000132,CUST00070,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,16 Al Nahda Street,Building 27,715,54550,,Active
ADDR000133,CUST00070,Home Country,Pakistan,,Capital City,Main Area,"House 330, Street 33",,,,510438,Active
ADDR000134,CUST00071,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Salamah,64 Al Salamah Street,Building 71,801,84923,,Active
ADDR000135,CUST00071,Home Country,Pakistan,,Capital City,Town Center,"House 339, Street 42",,,,729907,Active
ADDR000136,CUST00072,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Khalifa City,24 Khalifa City Street,Building 42,1031,34776,,Active
ADDR000137,CUST00072,Home Country,United Kingdom,,Old Town,Market Area,"House 421, Street 8",,,,764784,Active
ADDR000138,CUST00073,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Nakheel,50 Al Nakheel Street,Building 44,272,11787,,Active
ADDR000139,CUST00073,Home Country,Philippines,,Old Town,Market Area,"House 11, Street 9",,,,951848,Active
ADDR000140,CUST00074,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Khalifa City,50 Khalifa City Street,Building 167,1835,28204,,Active
ADDR000141,CUST00074,Home Country,Bangladesh,,Central District,Town Center,"House 187, Street 16",,,,592383,Active
ADDR000142,CUST00075,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Raas,4 Al Raas Street,Building 179,1438,74856,,Active
ADDR000143,CUST00076,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Salamah,83 Al Salamah Street,Building 196,1235,49986,,Active
ADDR000144,CUST00076,Home Country,United Kingdom,,Old Town,Residential Zone,"House 462, Street 27",,,,811237,Active
ADDR000145,CUST00077,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Old Town,33 Old Town Street,Building 13,1659,81139,,Active
ADDR000146,CUST00077,Home Country,Jordan,,Old Town,Market Area,"House 186, Street 42",,,,418692,Active
ADDR000147,CUST00078,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Al Reem Island,29 Al Reem Island Street,Building 66,1453,18596,,Active
ADDR000148,CUST00078,Home Country,Sri Lanka,,Central District,Town Center,"House 336, Street 28",,,,675639,Active
ADDR000149,CUST00079,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Dhait,46 Al Dhait Street,Building 132,914,97327,,Active
ADDR000150,CUST00079,Home Country,Jordan,,Central District,Market Area,"House 403, Street 19",,,,688842,Active
ADDR000151,CUST00080,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,85 Dibba Street,Building 91,2341,66224,,Active
ADDR000152,CUST00080,Home Country,Sri Lanka,,Metro City,Town Center,"House 427, Street 32",,,,326318,Active
ADDR000153,CUST00081,UAE Residence,United Arab Emirates,Ajman,Ajman,Ajman Corniche,39 Ajman Corniche Street,Building 133,1383,41501,,Active
ADDR000154,CUST00082,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,85 Al Nahda Street,Building 118,2037,57830,,Active
ADDR000155,CUST00082,Home Country,India,,Old Town,Main Area,"House 474, Street 33",,,,738528,Active
ADDR000156,CUST00083,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Khalifa City,21 Khalifa City Street,Building 198,1774,89964,,Active
ADDR000157,CUST00083,Home Country,Philippines,,Metro City,Residential Zone,"House 154, Street 16",,,,864202,Active
ADDR000158,CUST00084,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Jurf,69 Al Jurf Street,Building 9,1559,13116,,Active
ADDR000159,CUST00084,Home Country,Jordan,,Central District,Residential Zone,"House 410, Street 4",,,,478722,Active
ADDR000160,CUST00085,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,77 Fujairah City Street,Building 45,2280,45276,,Active
ADDR000161,CUST00085,Home Country,Egypt,,Old Town,Town Center,"House 85, Street 47",,,,962696,Active
ADDR000162,CUST00086,UAE Residence,United Arab Emirates,Dubai,Dubai,Deira,59 Deira Street,Building 51,1249,32572,,Active
ADDR000163,CUST00086,Home Country,Sri Lanka,,Metro City,Main Area,"House 357, Street 30",,,,568542,Active
ADDR000164,CUST00087,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Rolla,19 Rolla Street,Building 152,1390,45342,,Active
ADDR000165,CUST00087,Home Country,Jordan,,Central District,Main Area,"House 124, Street 36",,,,129965,Active
ADDR000166,CUST00088,UAE Residence,United Arab Emirates,Dubai,Dubai,Jumeirah,18 Jumeirah Street,Building 86,2391,56027,,Active
ADDR000167,CUST00088,Home Country,Egypt,,Capital City,Residential Zone,"House 20, Street 44",,,,239099,Active
ADDR000168,CUST00089,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,39 Fujairah City Street,Building 88,195,96236,,Active
ADDR000169,CUST00090,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Taawun,13 Al Taawun Street,Building 80,960,55012,,Active
ADDR000170,CUST00090,Home Country,Nepal,,Metro City,Main Area,"House 72, Street 30",,,,725606,Active
ADDR000171,CUST00091,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Khalifa City,29 Khalifa City Street,Building 193,2114,91322,,Active
ADDR000172,CUST00091,Home Country,United Kingdom,,Central District,Market Area,"House 41, Street 47",,,,860095,Active
ADDR000173,CUST00092,UAE Residence,United Arab Emirates,Dubai,Dubai,Deira,19 Deira Street,Building 62,1545,85511,,Active
ADDR000174,CUST00092,Home Country,Sri Lanka,,Capital City,Residential Zone,"House 445, Street 11",,,,520589,Active
ADDR000175,CUST00093,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Khalifa City,59 Khalifa City Street,Building 68,711,82267,,Active
ADDR000176,CUST00093,Home Country,Egypt,,Old Town,Town Center,"House 464, Street 12",,,,945282,Active
ADDR000177,CUST00094,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Al Faseel,15 Al Faseel Street,Building 178,310,78625,,Active
ADDR000178,CUST00094,Home Country,Bangladesh,,Central District,Town Center,"House 115, Street 34",,,,301786,Active
ADDR000179,CUST00095,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Khuzam,45 Khuzam Street,Building 75,1502,20518,,Active
ADDR000180,CUST00095,Home Country,Pakistan,,Central District,Town Center,"House 21, Street 39",,,,963813,Active
ADDR000181,CUST00096,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Fujairah City,75 Fujairah City Street,Building 60,1428,22290,,Active
ADDR000182,CUST00096,Home Country,Egypt,,Capital City,Town Center,"House 341, Street 20",,,,460731,Active
ADDR000183,CUST00097,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Raas,41 Al Raas Street,Building 194,1001,69474,,Active
ADDR000184,CUST00097,Home Country,Sri Lanka,,Capital City,Town Center,"House 70, Street 31",,,,295535,Active
ADDR000185,CUST00098,UAE Residence,United Arab Emirates,Ras Al Khaimah,Ras Al Khaimah,Al Nakheel,54 Al Nakheel Street,Building 117,919,42433,,Active
ADDR000186,CUST00098,Home Country,United Kingdom,,Old Town,Residential Zone,"House 198, Street 7",,,,984412,Active
ADDR000187,CUST00099,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Nahda,86 Al Nahda Street,Building 82,2049,59093,,Active
ADDR000188,CUST00099,Home Country,Philippines,,Old Town,Market Area,"House 390, Street 28",,,,369828,Active
ADDR000189,CUST00100,UAE Residence,United Arab Emirates,Dubai,Dubai,Bur Dubai,97 Bur Dubai Street,Building 109,218,77331,,Active
ADDR000190,CUST00100,Home Country,Philippines,,Central District,Main Area,"House 262, Street 42",,,,563549,Active
ADDR000191,CUST00101,UAE Residence,United Arab Emirates,Ajman,Ajman,Al Rashidiya,2 Al Rashidiya Street,Building 151,343,65560,,Active
ADDR000192,CUST00101,Home Country,Egypt,,Metro City,Main Area,"House 309, Street 28",,,,352181,Active
ADDR000193,CUST00102,UAE Residence,United Arab Emirates,Dubai,Dubai,Bur Dubai,80 Bur Dubai Street,Building 154,1477,19667,,Active
ADDR000194,CUST00102,Home Country,United Kingdom,,Old Town,Town Center,"House 482, Street 4",,,,425860,Active
ADDR000195,CUST00103,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Mussafah,92 Mussafah Street,Building 85,2312,28722,,Active
ADDR000196,CUST00103,Home Country,Pakistan,,Metro City,Town Center,"House 226, Street 15",,,,809570,Active
ADDR000197,CUST00104,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Salamah,23 Al Salamah Street,Building 195,982,46752,,Active
ADDR000198,CUST00104,Home Country,Pakistan,,Metro City,Main Area,"House 158, Street 33",,,,460874,Active
ADDR000199,CUST00105,UAE Residence,United Arab Emirates,Umm Al Quwain,Umm Al Quwain,Al Salamah,85 Al Salamah Street,Building 75,724,17495,,Active
ADDR000200,CUST00105,Home Country,Jordan,,Metro City,Residential Zone,"House 312, Street 16",,,,520204,Active
ADDR000201,CUST00106,UAE Residence,United Arab Emirates,Abu Dhabi,Abu Dhabi,Al Reem Island,6 Al Reem Island Street,Building 174,693,82479,,Active
ADDR000202,CUST00106,Home Country,Pakistan,,Metro City,Market Area,"House 55, Street 16",,,,367755,Active
ADDR000203,CUST00107,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Rolla,47 Rolla Street,Building 197,1620,67876,,Active
ADDR000204,CUST00107,Home Country,United Kingdom,,Old Town,Town Center,"House 95, Street 39",,,,739247,Active
ADDR000205,CUST00108,UAE Residence,United Arab Emirates,Dubai,Dubai,Deira,92 Deira Street,Building 85,1300,87394,,Active
ADDR000206,CUST00108,Home Country,Bangladesh,,Capital City,Residential Zone,"House 322, Street 17",,,,303510,Active
ADDR000207,CUST00109,UAE Residence,United Arab Emirates,Dubai,Dubai,Dubai Marina,91 Dubai Marina Street,Building 52,1326,42601,,Active
ADDR000208,CUST00109,Home Country,Pakistan,,Old Town,Residential Zone,"House 116, Street 6",,,,139987,Active
ADDR000209,CUST00110,UAE Residence,United Arab Emirates,Fujairah,Fujairah,Dibba,86 Dibba Street,Building 150,2082,73392,,Active
ADDR000210,CUST00110,Home Country,India,,Capital City,Main Area,"House 165, Street 2",,,,527819,Active
ADDR000211,CUST00111,UAE Residence,United Arab Emirates,Sharjah,Sharjah,Al Taawun,15 Al Taawun Street,Building 173,2016,89292,,Active
ADDR000212,CUST00111,Home Country,Jordan,,Metro City,Town Center,"House 463, Street 22",,,,948190,Active
