document_id,customer_id,document_type,document_number,issue_date,expiry_date,issued_country,residency_status,document_status,verification_status
DOC000018,CUST00009,Passport,P2712355,2019-06-12,2029-06-09,Philippines,UAE Resident,Valid,Verified
DOC000019,CUST00010,Emirates ID,784-1930-1278299-8,2021-03-14,2022-10-25,United Arab Emirates,UAE Citizen,Expired,Verified
DOC000020,CUST00010,Passport,P8989988,2016-04-27,2026-04-25,United Arab Emirates,UAE Citizen,Expired,Verified
DOC000021,CUST00011,Emirates ID,784-1933-2985184-9,2025-01-28,2028-01-18,United Arab Emirates,UAE Resident,Valid,Verified
DOC000022,CUST00011,Passport,P4557877,2020-11-02,2030-10-31,United Kingdom,UAE Resident,Valid,Verified
DOC000023,CUST00012,Emirates ID,784-1965-6599219-1,2025-08-18,2029-01-16,United Arab Emirates,UAE Resident,Valid,Verified
DOC000024,CUST00012,Passport,P2641024,2020-02-23,2030-02-20,Egypt,UAE Resident,Valid,Verified
DOC000025,CUST00013,Emirates ID,784-1924-5932600-4,2024-04-15,2027-08-28,United Arab Emirates,UAE Resident,Valid,Verified
DOC000026,CUST00013,Passport,P5629265,2022-08-30,2032-08-27,United Kingdom,UAE Resident,Valid,Verified
DOC000027,CUST00014,Emirates ID,784-1955-2831812-1,2025-07-14,2029-06-10,United Arab Emirates,UAE Resident,Valid,Verified
DOC000028,CUST00014,Passport,P4683937,2017-03-30,2027-03-28,Nepal,UAE Resident,Valid,Verified
DOC000029,CUST00015,Emirates ID,784-1934-5005847-2,2020-05-26,2024-08-16,United Arab Emirates,UAE Resident,Expired,Verified
DOC000030,CUST00015,Passport,P4799452,2019-02-02,2029-01-30,Philippines,UAE Resident,Valid,Verified
DOC000031,CUST00016,Emirates ID,784-1950-2699603-4,2024-07-15,2027-09-25,United Arab Emirates,UAE Resident,Valid,Verified
DOC000032,CUST00016,Passport,P5500772,2025-11-11,2035-11-09,Sri Lanka,UAE Resident,Valid,Verified
DOC000033,CUST00017,Emirates ID,784-1944-5831713-5,2021-12-01,2024-01-21,United Arab Emirates,UAE Resident,Expired,Verified
DOC000034,CUST00017,Passport,P4105107,2017-01-21,2027-01-19,Nepal,UAE Resident,Valid,Verified
DOC000035,CUST00018,Emirates ID,784-2009-5003370-3,2025-05-06,2028-01-21,United Arab Emirates,UAE Resident,Valid,Verified
DOC000036,CUST00018,Passport,P3795846,2016-10-11,2026-10-09,India,UAE Resident,Valid,Verified
DOC000037,CUST00019,Emirates ID,784-1901-8962478-7,2025-02-07,2026-11-24,United Arab Emirates,UAE Resident,Valid,Verified
DOC000038,CUST00019,Passport,P5426369,2017-12-28,2027-12-26,Bangladesh,UAE Resident,Valid,Verified
DOC000039,CUST00020,Emirates ID,784-1997-1163307-6,2021-11-30,2026-09-21,United Arab Emirates,UAE Resident,Valid,Pending
DOC000040,CUST00020,Passport,P1016885,2022-07-16,2032-07-13,India,UAE Resident,Valid,Verified
DOC000041,CUST00021,Emirates ID,784-1914-1757936-1,2022-10-10,2026-06-03,United Arab Emirates,UAE Citizen,Expired,Verified
DOC000042,CUST00021,Passport,P4830031,2019-04-05,2029-04-02,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000043,CUST00022,Emirates ID,784-1999-2575550-2,2021-11-16,2023-09-12,United Arab Emirates,UAE Resident,Expired,Verified
DOC000044,CUST00022,Passport,P6631731,2024-04-03,2034-04-01,India,UAE Resident,Valid,Verified
DOC000045,CUST00023,Emirates ID,784-1932-9162003-5,2023-12-07,2027-12-28,United Arab Emirates,UAE Resident,Valid,Verified
DOC000046,CUST00023,Passport,P6916088,2016-02-25,2026-02-22,Bangladesh,UAE Resident,Expired,Verified
DOC000047,CUST00024,Emirates ID,784-1999-9126125-2,2023-09-28,2027-08-23,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000048,CUST00024,Passport,P1347746,2021-10-28,2031-10-26,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000049,CUST00025,Emirates ID,784-1984-3376209-6,2024-08-07,2026-11-01,United Arab Emirates,UAE Resident,Valid,Verified
DOC000050,CUST00025,Passport,P8226291,2018-09-27,2028-09-24,India,UAE Resident,Valid,Verified
DOC000051,CUST00026,Emirates ID,784-2017-7338067-2,2020-12-31,2023-01-31,United Arab Emirates,UAE Resident,Expired,Pending
DOC000052,CUST00026,Passport,P8537488,2025-11-01,2035-10-30,Bangladesh,UAE Resident,Valid,Rejected
DOC000053,CUST00027,Emirates ID,784-1933-6852648-6,2025-11-28,2027-11-21,United Arab Emirates,UAE Resident,Valid,Verified
DOC000054,CUST00027,Passport,P5634657,2020-09-05,2030-09-03,Nepal,UAE Resident,Valid,Verified
DOC000055,CUST00028,Emirates ID,784-1966-6759189-2,2020-06-17,2024-09-15,United Arab Emirates,UAE Resident,Expired,Verified
DOC000056,CUST00028,Passport,P6821657,2021-02-06,2031-02-04,India,UAE Resident,Valid,Verified
DOC000057,CUST00029,Emirates ID,784-2018-3468450-8,2020-02-04,2023-11-21,United Arab Emirates,UAE Resident,Expired,Verified
DOC000058,CUST00029,Passport,P5861731,2021-11-12,2031-11-10,Bangladesh,UAE Resident,Valid,Verified
DOC000059,CUST00030,Emirates ID,784-1962-5836199-2,2021-10-28,2024-07-10,United Arab Emirates,UAE Resident,Expired,Verified
DOC000060,CUST00030,Passport,P8614476,2016-03-04,2026-03-02,Philippines,UAE Resident,Expired,Verified
DOC000061,CUST00031,Emirates ID,784-1915-1892435-8,2023-03-05,2027-07-01,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000062,CUST00031,Passport,P6909866,2020-10-28,2030-10-26,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000063,CUST00032,Emirates ID,784-1932-3310537-6,2020-01-03,2021-04-14,United Arab Emirates,UAE Resident,Expired,Verified
DOC000064,CUST00032,Passport,P9422048,2024-10-21,2034-10-19,Sri Lanka,UAE Resident,Valid,Verified
DOC000065,CUST00033,Emirates ID,784-1991-5541070-3,2021-09-27,2023-03-22,United Arab Emirates,UAE Resident,Expired,Rejected
DOC000066,CUST00033,Passport,P8248609,2018-03-16,2028-03-13,Nepal,UAE Resident,Valid,Verified
DOC000067,CUST00034,Emirates ID,784-1928-1539164-8,2020-11-26,2023-07-14,United Arab Emirates,UAE Resident,Expired,Pending
DOC000068,CUST00034,Passport,P7480045,2018-10-15,2028-10-12,Bangladesh,UAE Resident,Valid,Verified
DOC000069,CUST00035,Emirates ID,784-2017-6067099-5,2021-02-05,2023-07-25,United Arab Emirates,UAE Resident,Expired,Verified
DOC000070,CUST00035,Passport,P6410314,2020-11-20,2030-11-18,Egypt,UAE Resident,Valid,Verified
DOC000071,CUST00036,Emirates ID,784-1998-4347166-5,2021-07-24,2026-05-23,United Arab Emirates,UAE Resident,Expired,Verified
DOC000072,CUST00036,Passport,P4347443,2022-03-20,2032-03-17,Egypt,UAE Resident,Valid,Verified
DOC000073,CUST00037,Emirates ID,784-1972-8736886-9,2020-12-16,2023-08-16,United Arab Emirates,UAE Resident,Expired,Verified
DOC000074,CUST00037,Passport,P8329845,2024-10-09,2034-10-07,Bangladesh,UAE Resident,Valid,Verified
DOC000075,CUST00038,Emirates ID,784-1988-6255638-9,2025-11-26,2029-05-19,United Arab Emirates,UAE Resident,Valid,Pending
DOC000076,CUST00038,Passport,P6998844,2023-12-28,2033-12-25,Egypt,UAE Resident,Valid,Verified
DOC000077,CUST00039,Emirates ID,784-1953-7882997-8,2024-10-17,2028-05-29,United Arab Emirates,UAE Resident,Valid,Verified
DOC000078,CUST00039,Passport,P1443289,2022-04-08,2032-04-05,United Kingdom,UAE Resident,Valid,Pending
DOC000079,CUST00040,Emirates ID,784-1996-3358634-5,2024-09-20,2026-03-20,United Arab Emirates,UAE Resident,Expired,Verified
DOC000080,CUST00040,Passport,P9593404,2022-07-05,2032-07-02,Egypt,UAE Resident,Valid,Verified
DOC000081,CUST00041,Emirates ID,784-1996-7587730-3,2023-04-16,2024-08-02,United Arab Emirates,UAE Resident,Expired,Verified
DOC000082,CUST00041,Passport,P8764626,2016-01-25,2026-01-22,Sri Lanka,UAE Resident,Expired,Verified
DOC000083,CUST00042,Emirates ID,784-2007-1911778-2,2025-10-22,2029-05-21,United Arab Emirates,UAE Resident,Valid,Verified
DOC000084,CUST00042,Passport,P2795982,2025-04-22,2035-04-20,Philippines,UAE Resident,Valid,Verified
DOC000085,CUST00043,Emirates ID,784-1972-9077690-6,2021-02-02,2023-09-20,United Arab Emirates,UAE Resident,Expired,Verified
DOC000086,CUST00043,Passport,P9570152,2017-05-12,2027-05-10,United Kingdom,UAE Resident,Valid,Verified
DOC000087,CUST00044,Emirates ID,784-1926-9661473-3,2020-08-05,2025-07-11,United Arab Emirates,UAE Resident,Expired,Verified
DOC000088,CUST00044,Passport,P3288458,2021-07-21,2031-07-19,Sri Lanka,UAE Resident,Valid,Verified
DOC000089,CUST00045,Emirates ID,784-1980-6215882-1,2021-09-25,2024-06-02,United Arab Emirates,UAE Resident,Expired,Verified
DOC000090,CUST00045,Passport,P4367185,2022-12-29,2032-12-26,India,UAE Resident,Valid,Verified
DOC000091,CUST00046,Emirates ID,784-1977-3030620-9,2020-01-01,2021-11-09,United Arab Emirates,UAE Resident,Expired,Verified
DOC000092,CUST00046,Passport,P2738237,2018-04-16,2028-04-13,Philippines,UAE Resident,Valid,Verified
DOC000093,CUST00047,Emirates ID,784-1950-1933705-2,2025-09-02,2029-02-26,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000094,CUST00047,Passport,P4087744,2021-06-04,2031-06-02,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000095,CUST00048,Emirates ID,784-1987-8367376-2,2022-12-02,2027-05-09,United Arab Emirates,UAE Resident,Valid,Verified
DOC000096,CUST00048,Passport,P1363358,2023-02-18,2033-02-15,Philippines,UAE Resident,Valid,Verified
DOC000097,CUST00049,Emirates ID,784-1965-4361332-8,2022-09-12,2024-08-26,United Arab Emirates,UAE Resident,Expired,Verified
DOC000098,CUST00049,Passport,P2678051,2019-03-31,2029-03-28,Pakistan,UAE Resident,Valid,Pending
DOC000099,CUST00050,Emirates ID,784-1985-5616776-7,2025-07-12,2028-08-02,United Arab Emirates,UAE Resident,Valid,Verified
DOC000100,CUST00050,Passport,P2800796,2024-12-20,2034-12-18,Philippines,UAE Resident,Valid,Verified
DOC000101,CUST00051,Emirates ID,784-1903-5755035-8,2024-10-06,2026-08-05,United Arab Emirates,UAE Resident,Valid,Verified
DOC000102,CUST00051,Passport,P1184878,2020-05-14,2030-05-12,Egypt,UAE Resident,Valid,Verified
DOC000103,CUST00052,Emirates ID,784-1983-8457126-1,2020-05-19,2024-12-30,United Arab Emirates,UAE Resident,Expired,Pending
DOC000104,CUST00052,Passport,P3337125,2019-12-23,2029-12-20,Jordan,UAE Resident,Valid,Verified
DOC000105,CUST00053,Emirates ID,784-1901-3656077-6,2025-02-20,2027-09-10,United Arab Emirates,UAE Resident,Valid,Verified
DOC000106,CUST00053,Passport,P9442389,2025-08-27,2035-08-25,United Kingdom,UAE Resident,Valid,Verified
DOC000107,CUST00054,Emirates ID,784-1965-2053034-3,2025-11-20,2029-01-27,United Arab Emirates,UAE Resident,Valid,Verified
DOC000108,CUST00054,Passport,P6692359,2019-12-12,2029-12-09,Sri Lanka,UAE Resident,Valid,Verified
DOC000109,CUST00055,Emirates ID,784-2000-6082320-7,2021-07-27,2024-02-17,United Arab Emirates,UAE Resident,Expired,Verified
DOC000110,CUST00055,Passport,P9115888,2025-05-30,2035-05-28,Jordan,UAE Resident,Valid,Verified
DOC000111,CUST00056,Emirates ID,784-1984-4026182-9,2025-04-16,2029-09-07,United Arab Emirates,UAE Resident,Valid,Verified
DOC000112,CUST00056,Passport,P5349090,2021-11-22,2031-11-20,India,UAE Resident,Valid,Verified
DOC000113,CUST00057,Emirates ID,784-1974-6840068-7,2023-08-20,2027-12-07,United Arab Emirates,UAE Resident,Valid,Verified
DOC000114,CUST00057,Passport,P3670591,2016-04-30,2026-04-28,Nepal,UAE Resident,Expired,Verified
DOC000115,CUST00058,Emirates ID,784-2019-8992883-6,2021-03-11,2024-12-27,United Arab Emirates,UAE Resident,Expired,Verified
DOC000116,CUST00058,Passport,P4969777,2024-08-27,2034-08-25,Sri Lanka,UAE Resident,Valid,Verified
DOC000117,CUST00059,Emirates ID,784-1996-8047372-2,2021-12-13,2025-02-06,United Arab Emirates,UAE Resident,Expired,Verified
DOC000118,CUST00059,Passport,P2920551,2018-10-22,2028-10-19,United Kingdom,UAE Resident,Valid,Verified
DOC000119,CUST00060,Emirates ID,784-1997-7280082-1,2020-10-25,2024-04-16,United Arab Emirates,UAE Resident,Expired,Pending
DOC000120,CUST00060,Passport,P2806251,2019-08-08,2029-08-05,India,UAE Resident,Valid,Verified
DOC000121,CUST00061,Emirates ID,784-1981-4350987-4,2024-03-26,2025-12-23,United Arab Emirates,UAE Resident,Expired,Verified
DOC000122,CUST00061,Passport,P5799782,2020-11-27,2030-11-25,Sri Lanka,UAE Resident,Valid,Verified
DOC000123,CUST00062,Emirates ID,784-2004-9867252-4,2021-10-25,2025-03-31,United Arab Emirates,UAE Resident,Expired,Verified
DOC000124,CUST00062,Passport,P2614070,2016-04-09,2026-04-07,Jordan,UAE Resident,Expired,Verified
DOC000125,CUST00063,Emirates ID,784-1946-7845563-9,2021-07-29,2022-08-08,United Arab Emirates,UAE Resident,Expired,Verified
DOC000126,CUST00063,Passport,P4108891,2019-10-27,2029-10-24,Nepal,UAE Resident,Valid,Verified
DOC000127,CUST00064,Emirates ID,784-1924-4480849-8,2025-12-03,2029-09-14,United Arab Emirates,UAE Resident,Valid,Verified
DOC000128,CUST00064,Passport,P3313134,2019-12-31,2029-12-28,Jordan,UAE Resident,Valid,Verified
DOC000129,CUST00065,Emirates ID,784-1980-7310216-2,2024-12-02,2028-04-25,United Arab Emirates,UAE Resident,Valid,Verified
DOC000130,CUST00065,Passport,P9677962,2017-06-04,2027-06-02,Bangladesh,UAE Resident,Valid,Verified
DOC000131,CUST00066,Emirates ID,784-1929-1863674-9,2021-04-28,2025-02-12,United Arab Emirates,UAE Resident,Expired,Verified
DOC000132,CUST00066,Passport,P5863655,2018-07-06,2028-07-03,Jordan,UAE Resident,Valid,Pending
DOC000133,CUST00067,Emirates ID,784-1990-7004652-2,2022-10-26,2026-01-02,United Arab Emirates,UAE Resident,Expired,Verified
DOC000134,CUST00067,Passport,P5832995,2017-10-08,2027-10-06,Bangladesh,UAE Resident,Valid,Verified
DOC000135,CUST00068,Emirates ID,784-2019-9389396-5,2022-09-15,2026-08-10,United Arab Emirates,UAE Resident,Valid,Verified
DOC000136,CUST00068,Passport,P2860164,2016-08-20,2026-08-18,Nepal,UAE Resident,Valid,Verified
DOC000137,CUST00069,Emirates ID,784-1903-1541480-6,2022-12-13,2027-08-11,United Arab Emirates,UAE Resident,Valid,Verified
DOC000138,CUST00069,Passport,P6612670,2018-04-01,2028-03-29,Pakistan,UAE Resident,Valid,Verified
DOC000139,CUST00070,Emirates ID,784-1926-6529924-1,2020-08-31,2022-06-12,United Arab Emirates,UAE Resident,Expired,Verified
DOC000140,CUST00070,Passport,P1593277,2016-10-25,2026-10-23,Pakistan,UAE Resident,Valid,Verified
DOC000141,CUST00071,Emirates ID,784-1976-2352134-9,2020-10-16,2024-02-15,United Arab Emirates,UAE Resident,Expired,Verified
DOC000142,CUST00071,Passport,P5538377,2017-06-14,2027-06-12,Pakistan,UAE Resident,Valid,Verified
DOC000143,CUST00072,Emirates ID,784-1963-9516186-4,2021-03-02,2022-05-13,United Arab Emirates,UAE Resident,Expired,Verified
DOC000144,CUST00072,Passport,P9012674,2020-11-02,2030-10-31,United Kingdom,UAE Resident,Valid,Verified
DOC000145,CUST00073,Emirates ID,784-2019-1928728-1,2022-07-21,2023-09-02,United Arab Emirates,UAE Resident,Expired,Verified
DOC000146,CUST00073,Passport,P4291258,2025-02-05,2035-02-03,Philippines,UAE Resident,Valid,Verified
DOC000147,CUST00074,Emirates ID,784-1987-1303581-9,2024-04-02,2029-01-27,United Arab Emirates,UAE Resident,Valid,Verified
DOC000148,CUST00074,Passport,P7328832,2020-05-04,2030-05-02,Bangladesh,UAE Resident,Valid,Verified
DOC000149,CUST00075,Emirates ID,784-1954-3311404-2,2024-10-26,2029-10-01,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000150,CUST00075,Passport,P7169127,2022-11-26,2032-11-23,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000151,CUST00076,Emirates ID,784-2017-1971778-4,2023-11-06,2027-04-18,United Arab Emirates,UAE Resident,Valid,Verified
DOC000152,CUST00076,Passport,P1168605,2022-08-07,2032-08-04,United Kingdom,UAE Resident,Valid,Verified
DOC000153,CUST00077,Emirates ID,784-2011-5193002-1,2020-07-06,2021-08-05,United Arab Emirates,UAE Resident,Expired,Verified
DOC000154,CUST00077,Passport,P8357746,2017-06-03,2027-06-01,Jordan,UAE Resident,Valid,Verified
DOC000155,CUST00078,Emirates ID,784-1944-5097740-5,2020-06-28,2023-04-02,United Arab Emirates,UAE Resident,Expired,Verified
DOC000156,CUST00078,Passport,P9031276,2020-06-17,2030-06-15,Sri Lanka,UAE Resident,Valid,Verified
DOC000157,CUST00079,Emirates ID,784-1932-4453773-8,2020-11-10,2022-04-15,United Arab Emirates,UAE Resident,Expired,Verified
DOC000158,CUST00079,Passport,P6988766,2025-02-13,2035-02-11,Jordan,UAE Resident,Valid,Verified
DOC000159,CUST00080,Emirates ID,784-1991-6078780-6,2022-06-21,2025-12-15,United Arab Emirates,UAE Resident,Expired,Verified
DOC000160,CUST00080,Passport,P5097093,2019-04-13,2029-04-10,Sri Lanka,UAE Resident,Valid,Verified
DOC000161,CUST00081,Emirates ID,784-1989-9446412-2,2022-12-31,2025-10-14,United Arab Emirates,UAE Citizen,Expired,Verified
DOC000162,CUST00081,Passport,P9157211,2020-08-09,2030-08-07,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000163,CUST00082,Emirates ID,784-2007-9740844-4,2022-04-13,2024-01-18,United Arab Emirates,UAE Resident,Expired,Verified
DOC000164,CUST00082,Passport,P4536127,2022-03-14,2032-03-11,India,UAE Resident,Valid,Verified
DOC000165,CUST00083,Emirates ID,784-1930-8386629-8,2021-08-04,2022-10-16,United Arab Emirates,UAE Resident,Expired,Pending
DOC000166,CUST00083,Passport,P9370278,2016-03-28,2026-03-26,Philippines,UAE Resident,Expired,Verified
DOC000167,CUST00084,Emirates ID,784-1975-7445414-5,2023-01-12,2025-08-03,United Arab Emirates,UAE Resident,Expired,Verified
DOC000168,CUST00084,Passport,P2001936,2016-12-12,2026-12-10,Jordan,UAE Resident,Valid,Verified
DOC000169,CUST00085,Emirates ID,784-1902-7418764-7,2024-04-21,2028-01-30,United Arab Emirates,UAE Resident,Valid,Verified
DOC000170,CUST00085,Passport,P4451578,2018-07-08,2028-07-05,Egypt,UAE Resident,Valid,Verified
DOC000171,CUST00086,Emirates ID,784-1906-6119535-1,2024-10-31,2028-10-25,United Arab Emirates,UAE Resident,Valid,Verified
DOC000172,CUST00086,Passport,P1436075,2019-11-25,2029-11-22,Sri Lanka,UAE Resident,Valid,Pending
DOC000173,CUST00087,Emirates ID,784-2003-4633007-1,2023-10-09,2026-03-29,United Arab Emirates,UAE Resident,Expired,Verified
DOC000174,CUST00087,Passport,P8282586,2025-04-19,2035-04-17,Jordan,UAE Resident,Valid,Verified
DOC000175,CUST00088,Emirates ID,784-1970-7511414-5,2020-08-21,2022-04-01,United Arab Emirates,UAE Resident,Expired,Verified
DOC000176,CUST00088,Passport,P8776282,2021-12-30,2031-12-28,Egypt,UAE Resident,Valid,Verified
DOC000177,CUST00089,Emirates ID,784-1920-7397002-8,2025-10-26,2028-04-10,United Arab Emirates,UAE Citizen,Valid,Verified
DOC000178,CUST00089,Passport,P3212456,2018-09-02,2028-08-30,United Arab Emirates,UAE Citizen,Valid,Pending
DOC000179,CUST00090,Emirates ID,784-1935-2435070-4,2023-02-23,2027-12-21,United Arab Emirates,UAE Resident,Valid,Verified
DOC000180,CUST00090,Passport,P6662853,2019-04-26,2029-04-23,Nepal,UAE Resident,Valid,Verified
DOC000181,CUST00091,Emirates ID,784-1935-7068232-5,2020-06-07,2024-11-18,United Arab Emirates,UAE Resident,Expired,Verified
DOC000182,CUST00091,Passport,P1207016,2024-10-09,2034-10-07,United Kingdom,UAE Resident,Valid,Verified
DOC000183,CUST00092,Emirates ID,784-2008-3999504-8,2023-08-07,2026-01-29,United Arab Emirates,UAE Resident,Expired,Verified
DOC000184,CUST00092,Passport,P1148825,2020-12-06,2030-12-04,Sri Lanka,UAE Resident,Valid,Verified
DOC000185,CUST00093,Emirates ID,784-1981-4654790-7,2024-01-09,2027-09-18,United Arab Emirates,UAE Resident,Valid,Verified
DOC000186,CUST00093,Passport,P5637988,2016-11-21,2026-11-19,Egypt,UAE Resident,Valid,Verified
DOC000187,CUST00094,Emirates ID,784-1956-4016609-5,2023-07-10,2024-11-17,United Arab Emirates,UAE Resident,Expired,Verified
DOC000188,CUST00094,Passport,P5354372,2019-02-05,2029-02-02,Bangladesh,UAE Resident,Valid,Verified
DOC000189,CUST00095,Emirates ID,784-1980-3927545-3,2021-06-05,2023-09-13,United Arab Emirates,UAE Resident,Expired,Verified
DOC000190,CUST00095,Passport,P1831808,2023-05-10,2033-05-07,Pakistan,UAE Resident,Valid,Verified
DOC000191,CUST00096,Emirates ID,784-1987-9501337-8,2020-06-06,2022-06-18,United Arab Emirates,UAE Resident,Expired,Verified
DOC000192,CUST00096,Passport,P4824407,2016-06-20,2026-06-18,Egypt,UAE Resident,Expired,Verified
DOC000193,CUST00097,Emirates ID,784-1902-6927978-9,2022-11-27,2025-05-07,United Arab Emirates,UAE Resident,Expired,Verified
DOC000194,CUST00097,Passport,P4937559,2022-09-25,2032-09-22,Sri Lanka,UAE Resident,Valid,Verified
DOC000195,CUST00098,Emirates ID,784-1956-2898888-9,2020-11-13,2024-09-16,United Arab Emirates,UAE Resident,Expired,Verified
DOC000196,CUST00098,Passport,P6465833,2018-04-15,2028-04-12,United Kingdom,UAE Resident,Valid,Verified
DOC000197,CUST00099,Emirates ID,784-1982-8155068-5,2024-08-30,2026-01-23,United Arab Emirates,UAE Resident,Expired,Verified
DOC000198,CUST00099,Passport,P7044611,2019-08-30,2029-08-27,Philippines,UAE Resident,Valid,Verified
DOC000199,CUST00100,Emirates ID,784-1947-8896784-5,2024-07-29,2029-03-25,United Arab Emirates,UAE Resident,Valid,Verified
DOC000200,CUST00100,Passport,P7179080,2017-10-18,2027-10-16,Philippines,UAE Resident,Valid,Verified
DOC000201,CUST00101,Emirates ID,784-1903-2782278-4,2021-09-06,2025-12-29,United Arab Emirates,UAE Resident,Expired,Verified
DOC000202,CUST00101,Passport,P9525883,2021-09-23,2031-09-21,Egypt,UAE Resident,Valid,Verified
DOC000203,CUST00102,Emirates ID,784-1948-1546929-3,2023-11-10,2026-01-23,United Arab Emirates,UAE Resident,Expired,Verified
DOC000204,CUST00102,Passport,P2316088,2023-04-13,2033-04-10,United Kingdom,UAE Resident,Valid,Pending
DOC000205,CUST00103,Emirates ID,784-1964-8014220-9,2022-07-08,2026-09-07,United Arab Emirates,UAE Resident,Valid,Verified
DOC000206,CUST00103,Passport,P9854283,2025-07-03,2035-07-01,Pakistan,UAE Resident,Valid,Verified
DOC000207,CUST00104,Emirates ID,784-1967-9729789-8,2025-04-18,2029-12-28,United Arab Emirates,UAE Resident,Valid,Verified
DOC000208,CUST00104,Passport,P5916819,2018-03-09,2028-03-06,Pakistan,UAE Resident,Valid,Pending
DOC000209,CUST00105,Emirates ID,784-2002-7072764-4,2023-09-08,2026-01-17,United Arab Emirates,UAE Resident,Expired,Verified
DOC000210,CUST00105,Passport,P2936374,2024-05-22,2034-05-20,Jordan,UAE Resident,Valid,Verified
DOC000211,CUST00106,Emirates ID,784-1946-2336977-6,2024-12-27,2028-04-14,United Arab Emirates,UAE Resident,Valid,Verified
DOC000212,CUST00106,Passport,P7078334,2016-11-09,2026-11-07,Pakistan,UAE Resident,Valid,Verified
DOC000213,CUST00107,Emirates ID,784-2000-8027140-4,2022-08-01,2026-02-05,United Arab Emirates,UAE Resident,Expired,Verified
DOC000214,CUST00107,Passport,P3101870,2025-04-09,2035-04-07,United Kingdom,UAE Resident,Valid,Pending
DOC000215,CUST00108,Emirates ID,784-1986-3317607-5,2022-09-30,2026-01-11,United Arab Emirates,UAE Resident,Expired,Verified
DOC000216,CUST00108,Passport,P6265434,2019-10-31,2029-10-28,Bangladesh,UAE Resident,Valid,Verified
DOC000217,CUST00109,Emirates ID,784-1964-3489714-8,2024-07-31,2027-12-10,United Arab Emirates,UAE Resident,Valid,Verified
DOC000218,CUST00109,Passport,P4323637,2024-08-30,2034-08-28,Pakistan,UAE Resident,Valid,Verified
DOC000219,CUST00110,Emirates ID,784-1921-3026500-7,2025-02-02,2026-03-05,United Arab Emirates,UAE Resident,Expired,Verified
DOC000220,CUST00110,Passport,P8882947,2022-03-21,2032-03-18,India,UAE Resident,Valid,Verified
DOC000221,CUST00111,Emirates ID,784-2006-8238024-1,2021-06-01,2022-08-09,United Arab Emirates,UAE Resident,Expired,Verified
DOC000222,CUST00111,Passport,P3220930,2016-10-26,2026-10-24,Jordan,UAE Resident,Valid,Verified
DOC000223,CUST00112,Emirates ID,784-2015-8086002-6,2025-12-08,2029-02-09,United Arab Emirates,UAE Resident,Valid,Verified
DOC000224,CUST00112,Passport,P5050605,2023-10-25,2033-10-22,Egypt,UAE Resident,Valid,Verified
